User_ID,Country,Subscription_Plan,Monthly_Fee_USD,Join_Date,Last_Active,Movie_Title,Genre,Watch_Time_Minutes,Average_Rating,Device_Type,Customer_Support_Tickets,Review_Text,Payment_Method
U0001,canada,Premium,8.99,10-15-2018,18/04/2018,dangal,Dramma,91,,IOS,6.0,¡Excelente película!,card
U0002,U.K,B,-12.0,10-12-2022,23/02/2022,interstellar,"Action, Thriller",88,,ANDRD,,Amazing cinematography!,Credit Card
U0003,India,B,-12.0,02-15-2019,"Nov 04, 2023",Frozen II,Comedy,9038,4.479023424927531,iOS,,spam spam spam spam spam,card
U0004,india,Premium,-12.0,19/08/2020,2020-12-14,Avengers: Endgame,Sci-Fi,8210,,Android,9.0,spam spam spam spam spam,CC
U0005,australia,standard,12.99,"May 17, 2018",02-15-2018,The Dark Knight,Thriller,427,0.6,android,538.0,¡Excelente película!,Credit Card
U0006,australia,standard,12.99,"Mar 08, 2018",20/04/2018,Avengers: Endgame,Thriller,1583,,Smart TV,,spam spam spam spam spam,Credit Card
U0007,frnace,P,25.0,"Aug 11, 2022","May 10, 2019",The Dark Knight,Thriller,349,4.1,Smart TV,10.0,¡Excelente película!,card
U0008,India,Basic,,2023-07-15,"Mar 03, 2019",The Godfather,Drama,-50,,Android,,Boring 😴,Credit Card
U0009,U.K,P,25.0,03/07/2022,14/07/2019,coco,Dramma,-50,,ANDRD,3.0,Slow pacing but great acting,Credit Card
U0010,canada,Basic,12.99,2020-08-12,09/12/2022,spider-man: no way home,Action,-50,,Smart TV,782.0,¡Excelente película!,card
U0011,United States,Standard,8.99,2019-02-14,,avengers: endgame,Thriller,390,-1.98344855645736,Web,670.0,Slow pacing but great acting,Debit Card
U0012,France,prem,8.99,2022-10-31,08/09/2021,avengers: endgame,Sci-Fi,-50,5.438388990942115,IOS,,spam spam spam spam spam,CC
U0013,Germany,B,8.99,03-04-2019,2020-03-08,The Godfather,Sci-Fi,273,4.8,Web,,Slow pacing but great acting,PayPal
U0014,United States,Basic,25.0,12/10/2021,10-19-2019,Spider-Man: No Way Home,"Action, Thriller",6754,-0.3316541000156157,android,6.0,Amazing cinematography!,PayPal
U0015,United Stattes,B,12.99,15/04/2018,"Nov 29, 2023",Dangal,Action,-50,0.0,android,,Amazing cinematography!,Debit Card
U0016,Canada,B,12.99,01/07/2023,03-22-2018,spider-man: no way home,Thriller,-50,0.946461266824131,Web,0.0,Slow pacing but great acting,card
U0017,South Africa,P,25.0,13/04/2019,2021-07-24,Parasite,Drama,5505,3.470939724289483,iOS,653.0,Boring 😴,card
U0018,canada,Standard,8.99,2020-11-13,04/12/2018,the godfather,Action,6607,,Android,,Amazing cinematography!,card
U0019,United States,Standard,12.99,"Aug 01, 2020",04-18-2021,parasite,"Action, Thriller",311,0.992522109341448,IOS,,spam spam spam spam spam,CC
,australia,B,8.99,2023-07-12,05-08-2019,Inception,Thriller,246,-1.8213787071903735,android,8.0,spam spam spam spam spam,Credit Card
U0021,Brazil,Standard,15.99,2023-03-26,2022-01-07,The Godfather,Sci-Fi,260,2.0272736580795225,ANDRD,10.0,¡Excelente película!,Credit Card
U0022,india,prem,15.99,"May 30, 2020",2023-04-24,Dangal,Comedy,400,1.5,Smart TV,0.0,spam spam spam spam spam,Debit Card
U0023,india,B,,2020-05-15,2018-05-08,Spider-Man: No Way Home,Action,4145,0.7,ANDRD,9.0,,PayPal
U0024,india,prem,-12.0,2022-08-24,11/10/2023,Avengers: Endgame,Thriller,8468,2.1,IOS,2.0,Loved it! ❤️ Best movie ever!,card
U0025,Japan,standard,25.0,2019-07-16,"Sep 03, 2019",dangal,Thriller,8108,2.1,ANDRD,,,PayPal
U0026,Brazil,P,-12.0,03-01-2018,2018-08-15,spider-man: no way home,Romance,3929,,IOS,,Boring 😴,CC
U0027,australia,prem,12.99,28/02/2022,2019-08-15,dangal,Drama,369,,android,7.0,Boring 😴,Credit Card
U0028,India,Premium,-12.0,"Jul 04, 2018","Aug 10, 2019",frozen ii,"Action, Thriller",6766,,Android,998.0,spam spam spam spam spam,PayPal
U0029,United Stattes,B,15.99,2019-08-13,2019-12-12,Spider-Man: No Way Home,Thriller,-50,,iOS,,,
U0030,australia,P,8.99,22/05/2022,"Oct 10, 2022",Parasite,Sci-Fi,4940,,IOS,,Amazing cinematography!,Credit Card
U0031,Brazil,Standard,15.99,"Jan 12, 2021",07-10-2023,inception,"Action, Thriller",4429,2.105708811307305,iOS,207.0,¡Excelente película!,CC
U0032,Germany,standard,12.99,07/05/2021,"Mar 02, 2019",Inception,Comedy,6636,,Web,,¡Excelente película!,CC
U0033,France,P,8.99,"May 07, 2021",12/01/2023,avengers: endgame,Action,6932,,iOS,3.0,Boring 😴,CC
U0034,United Stattes,P,8.99,"Jan 10, 2021","Apr 22, 2018",Frozen II,Comedy,3031,-0.5395123857933113,android,8.0,Slow pacing but great acting,Credit Card
U0035,U.K,prem,8.99,25/09/2020,25/03/2023,The Godfather,"Action, Thriller",-50,3.7415377728349775,Smart TV,,Amazing cinematography!,card
U0036,india,prem,12.99,01-15-2022,"Oct 10, 2023",Coco,Action,6548,4.023218892257387,IOS,984.0,Slow pacing but great acting,PayPal
U0037,Germany,standard,-12.0,"Sep 06, 2018",04/12/2020,the godfather,Dramma,-50,,Web,727.0,¡Excelente película!,CC
U0038,germny,standard,25.0,07/09/2021,2020-05-12,interstellar,Thriller,13,,android,3.0,Amazing cinematography!,CC
U0039,United Kingdom,standard,-12.0,04-09-2018,2019-03-20,Interstellar,Thriller,-50,4.3,IOS,,Slow pacing but great acting,Debit Card
U0040,United Stattes,Premium,12.99,"Jun 15, 2020",,inception,"Action, Thriller",4978,2.2,android,671.0,Loved it! ❤️ Best movie ever!,Credit Card
U0041,india,standard,-12.0,2022-12-12,"Nov 18, 2018",Dangal,"Action, Thriller",-50,4.6,Smart TV,,Amazing cinematography!,card
U0042,Japan,Standard,,2019-06-14,17/11/2018,Dangal,Sci-Fi,144,1.8,IOS,641.0,Slow pacing but great acting,card
U0043,United Stattes,prem,12.99,19/01/2023,2023-02-22,frozen ii,"Action, Thriller",2455,4.6,android,0.0,Slow pacing but great acting,Credit Card
U0044,South Africa,Premium,15.99,05-21-2018,29/08/2018,frozen ii,"Action, Thriller",-50,,iOS,,¡Excelente película!,Credit Card
U0045,Canada,B,8.99,2023-05-07,"Aug 06, 2022",interstellar,Comedy,-50,4.9186668740030965,android,2.0,Amazing cinematography!,Credit Card
U0046,United Kingdom,Basic,,08-17-2020,"Jun 06, 2023",The Godfather,Thriller,8611,1.1371496068267808,Android,,¡Excelente película!,Credit Card
U0047,U.K,standard,,2021-08-07,2023-09-09,Dangal,Sci-Fi,371,,Android,855.0,Slow pacing but great acting,Debit Card
U0048,United Stattes,standard,,"Feb 09, 2019",21/09/2023,Interstellar,Drama,447,2.4,Android,,Boring 😴,card
U0049,germny,Basic,,12-13-2020,2022-03-28,Avengers: Endgame,Sci-Fi,98,,iOS,6.0,Boring 😴,
U0050,Germany,P,,"Aug 11, 2021",2023-01-20,Avengers: Endgame,Dramma,50,,iOS,550.0,Amazing cinematography!,Credit Card
U0051,U.K,Basic,,"Aug 30, 2021",12-26-2021,spider-man: no way home,"Action, Thriller",210,,iOS,,Boring 😴,PayPal
U0052,France,prem,25.0,"Nov 22, 2018",01-21-2023,The Godfather,Romance,385,2.9,IOS,,Amazing cinematography!,CC
U0053,Brazil,P,15.99,12-15-2020,2020-03-12,Inception,Dramma,182,2.9,Smart TV,,Loved it! ❤️ Best movie ever!,CC
U0054,germny,Standard,-12.0,2020-01-30,15/05/2023,parasite,Dramma,6713,,android,275.0,Loved it! ❤️ Best movie ever!,Debit Card
U0055,india,Premium,12.99,07-12-2021,09-13-2022,avengers: endgame,Romance,-50,0.3,Android,10.0,,
U0056,United Stattes,P,-12.0,08-16-2018,03-18-2020,Spider-Man: No Way Home,Dramma,157,,android,,,
U0057,australia,Basic,-12.0,12-14-2018,01-24-2021,parasite,Action,-50,-1.1816712689694062,Android,,Loved it! ❤️ Best movie ever!,PayPal
U0058,india,prem,,"Aug 27, 2021",09/09/2018,Inception,Drama,-50,3.0,Smart TV,0.0,spam spam spam spam spam,PayPal
U0059,Germany,Basic,8.99,06-07-2023,11-08-2023,The Dark Knight,"Action, Thriller",6049,4.364146760074824,iOS,9.0,¡Excelente película!,PayPal
U0060,Germany,P,8.99,09/02/2018,2021-07-05,The Godfather,Action,-50,1.4,Smart TV,793.0,Slow pacing but great acting,Credit Card
U0061,United Stattes,standard,25.0,2018-07-18,,Avengers: Endgame,Dramma,9521,0.1,android,732.0,spam spam spam spam spam,Debit Card
U0062,United States,B,25.0,"Jun 01, 2022","Mar 20, 2019",dangal,Thriller,-50,2.2012629787605373,android,1.0,Amazing cinematography!,Credit Card
U0063,Canada,Premium,-12.0,18/07/2021,"Nov 24, 2022",inception,Action,-50,,Android,4.0,Loved it! ❤️ Best movie ever!,CC
U0064,France,Premium,,2018-05-26,10-08-2020,coco,Thriller,377,,ANDRD,290.0,Slow pacing but great acting,card
U0065,South Africa,B,15.99,21/10/2018,05/01/2018,interstellar,Dramma,8100,1.7,Android,2.0,Amazing cinematography!,CC
U0066,frnace,Standard,25.0,2020-11-20,2023-09-10,Parasite,Action,-50,5.208013680526893,ANDRD,,Loved it! ❤️ Best movie ever!,Debit Card
U0067,South Africa,Standard,25.0,2021-05-26,31/10/2023,dangal,Romance,7199,0.1,ANDRD,8.0,Boring 😴,card
U0068,Germany,Basic,12.99,2021-11-30,"Feb 09, 2018",avengers: endgame,Dramma,3859,2.058994437482256,ANDRD,,Loved it! ❤️ Best movie ever!,Debit Card
U0069,U.K,P,15.99,"May 07, 2022","Apr 15, 2020",Avengers: Endgame,Drama,4169,0.9,android,,,card
U0070,United Kingdom,Basic,25.0,2018-03-20,02/04/2021,The Godfather,Drama,-50,4.0,IOS,,Amazing cinematography!,CC
U0071,France,B,,11-09-2020,2019-03-09,Parasite,Action,3137,5.4522419082005324,ANDRD,477.0,¡Excelente película!,Credit Card
U0072,United Kingdom,B,8.99,11-11-2022,01/06/2022,interstellar,Comedy,5480,4.1,ANDRD,738.0,spam spam spam spam spam,Credit Card
U0073,United Kingdom,Premium,12.99,06-21-2021,24/02/2023,the dark knight,Drama,8591,,IOS,2.0,¡Excelente película!,PayPal
U0074,U.K,P,15.99,2018-01-23,"Dec 28, 2022",Interstellar,"Action, Thriller",394,2.7,Android,493.0,Boring 😴,card
U0075,Brazil,Standard,25.0,2018-02-25,,inception,Romance,-50,0.3010840269582147,IOS,8.0,spam spam spam spam spam,Credit Card
U0076,Australia,Basic,12.99,2021-04-18,06-16-2020,frozen ii,Romance,42,3.3983261347616995,Web,2.0,,PayPal
U0077,United Stattes,Premium,25.0,04-03-2018,"Jul 19, 2023",Interstellar,"Action, Thriller",-50,,Android,,Amazing cinematography!,Debit Card
U0078,india,B,,08-16-2022,2022-04-12,dangal,Sci-Fi,62,4.5,android,919.0,,PayPal
U0079,U.K,standard,-12.0,01-09-2022,,avengers: endgame,Romance,4938,0.9290263642085952,Web,,Loved it! ❤️ Best movie ever!,CC
U0080,Australia,B,8.99,"Mar 08, 2023","Dec 25, 2023",Parasite,Action,-50,6.25563562455736,ANDRD,367.0,,PayPal
U0081,U.K,Premium,-12.0,05/12/2023,29/01/2022,the godfather,Sci-Fi,224,-0.5629124132198968,Web,,¡Excelente película!,
U0082,Canada,Premium,12.99,"Apr 26, 2021",,Avengers: Endgame,Drama,1226,,IOS,,spam spam spam spam spam,PayPal
U0083,South Africa,Premium,15.99,08/12/2021,"Jul 10, 2021",Avengers: Endgame,Comedy,445,1.043967143300998,Smart TV,6.0,Slow pacing but great acting,PayPal
U0084,United Kingdom,Basic,8.99,"Jan 19, 2022","Jul 25, 2019",coco,Thriller,-50,-0.7580530773297474,Android,1.0,¡Excelente película!,Credit Card
U0085,United Stattes,Basic,25.0,03-19-2018,"Jan 09, 2020",The Godfather,Action,1059,4.523865964238166,Android,,Amazing cinematography!,PayPal
U0086,Japan,prem,12.99,08-05-2019,"Feb 08, 2018",parasite,Thriller,-50,,IOS,10.0,,
U0087,australia,Premium,,"Jun 12, 2022","Aug 04, 2022",coco,Thriller,9308,4.3,Smart TV,136.0,¡Excelente película!,PayPal
U0088,India,prem,12.99,07-06-2019,11-22-2022,coco,Sci-Fi,-50,0.6,Web,,spam spam spam spam spam,card
U0089,Japan,Basic,15.99,"Dec 22, 2022",02-08-2022,Spider-Man: No Way Home,Comedy,317,4.3,iOS,874.0,¡Excelente película!,Credit Card
U0090,Australia,B,25.0,2018-09-05,,frozen ii,Sci-Fi,-50,4.2,Android,10.0,Loved it! ❤️ Best movie ever!,card
U0091,Brazil,P,25.0,2020-02-28,2018-12-10,the dark knight,Drama,-50,,Smart TV,0.0,¡Excelente película!,PayPal
U0092,United States,standard,15.99,04-12-2023,12-18-2022,inception,Drama,2893,,Android,5.0,,card
U0093,germny,standard,,2018-11-21,23/01/2023,parasite,Romance,-50,3.1949478997004466,Smart TV,6.0,Loved it! ❤️ Best movie ever!,
U0094,Japan,standard,8.99,2023-09-09,"Jan 27, 2022",avengers: endgame,Sci-Fi,2287,,Smart TV,,Loved it! ❤️ Best movie ever!,
U0095,Japan,standard,25.0,2019-11-30,29/10/2018,Interstellar,Sci-Fi,-50,2.1,ANDRD,,Amazing cinematography!,Credit Card
U0096,Japan,Premium,15.99,04-23-2022,10-25-2019,inception,Action,333,4.3,Web,2.0,Loved it! ❤️ Best movie ever!,PayPal
U0097,Japan,P,8.99,12-26-2019,"Dec 31, 2022",Coco,Thriller,9751,2.2,Android,4.0,,Credit Card
U0098,australia,Premium,8.99,2018-09-03,2021-05-17,frozen ii,Thriller,-50,,Web,,Amazing cinematography!,CC
U0099,France,Standard,12.99,02-16-2022,27/04/2023,Coco,Sci-Fi,-50,-0.4798003483775908,IOS,503.0,,CC
U0100,Australia,P,15.99,04-03-2018,2020-10-12,the godfather,Comedy,-50,0.2930433710262701,Smart TV,1.0,Slow pacing but great acting,
,United States,standard,25.0,2020-09-11,07/12/2018,Avengers: Endgame,Romance,226,0.6,iOS,453.0,Boring 😴,
U0102,South Africa,P,15.99,2021-10-17,31/03/2022,The Dark Knight,Romance,-50,,Android,,Boring 😴,
U0103,Japan,P,15.99,2022-12-04,15/07/2018,avengers: endgame,Sci-Fi,-50,2.5603213248933363,android,7.0,Slow pacing but great acting,PayPal
U0104,United States,standard,,07-30-2023,17/08/2023,interstellar,Dramma,80,4.408506155135753,android,,Boring 😴,card
U0105,germny,B,15.99,"Oct 19, 2018","Nov 09, 2022",the dark knight,Romance,316,,Smart TV,745.0,spam spam spam spam spam,CC
U0106,australia,standard,8.99,"Jan 29, 2021",2020-01-02,interstellar,Action,4802,4.203487263103121,iOS,2.0,spam spam spam spam spam,card
U0107,canada,standard,8.99,"Jun 07, 2023",2018-12-12,interstellar,Action,370,3.276301100570425,Web,,,CC
U0108,France,Premium,8.99,2020-02-12,2022-02-07,Spider-Man: No Way Home,Drama,5724,0.8,IOS,8.0,,
U0109,canada,Basic,12.99,13/06/2018,20/07/2020,parasite,Romance,-50,2.2255112489843736,Web,,Loved it! ❤️ Best movie ever!,PayPal
U0110,Germany,Basic,-12.0,03/10/2019,10-29-2023,dangal,Drama,451,4.564102291005012,ANDRD,,Loved it! ❤️ Best movie ever!,Debit Card
U0111,frnace,standard,-12.0,"May 14, 2019",25/03/2021,Frozen II,Sci-Fi,3860,4.3,ANDRD,,¡Excelente película!,Credit Card
U0112,U.K,Premium,,"Jul 05, 2022","Apr 22, 2020",inception,"Action, Thriller",20,-1.5216825986411322,Android,6.0,,card
U0113,U.K,Premium,8.99,26/08/2018,02-17-2021,the dark knight,Drama,-50,6.9023483792166065,Android,452.0,Boring 😴,CC
U0114,Brazil,Basic,8.99,01-23-2022,11-25-2019,parasite,Sci-Fi,9518,3.3153529578786003,android,2.0,spam spam spam spam spam,CC
U0115,india,Premium,25.0,2022-03-20,04-14-2019,Frozen II,"Action, Thriller",6608,,iOS,7.0,,CC
